Strasse,Postleitzahl,Ort,Anzahl Zimmer,Flaeche [m2],Preis [CHF]
Allschwilerstrasse 38,4055,Basel,1,56,1130
Neuweilerstrasse 107,4054,Basel,2.5,58,1210
Gundeldingerstr. 125,4053,Basel,3,121,2940
Claragraben 82,4058,Basel,2,54,1190
Rennweg 23,4052,Basel,4,123,3155
Dufourstr. 49,4052,Basel,4,148,3040
Blotzheimerstr. 33,4055,Basel,3.5,73,1660
Birsstr. 320,4052,Basel,2.5,112,3010
Birsigstrasse 74,4054,Basel,6,146,4265
Pelikanweg 3,4054,Basel,5.5,180,4445
Birsigstrasse 74,4054,Basel,4.5,181,4550
Friedensgasse 35,4056,Basel,4.5,96,2150
Blotzheimerstr. 71,4055,Basel,4,97,1905
Redingstrasse,4052,Basel,3.5,98,2205
Redingstrasse,4052,Basel,2.5,81,2950
Redingstrasse,4052,Basel,4.5,114,3170
Redingstrasse,4052,Basel,3.5,98,2285
Klingental 1,4058,Basel,2,66,1695
Untere Rheingasse 12,4058,Basel,2.5,55,1500
Klybeckstrasse 190,4057,Basel,1.5,54,1653
Rosentalstr. 17,4058,Basel,3.5,85,2925
Bachlettenstrasse 31,4054,Basel,3,78,1960
Herrengrabenweg 64,4054,Basel,2.5,58,1700
Spalenring 151,4055,Basel,3,72,1640
Göschenenstr. 15,4054,Basel,2,57,1425
Rosentalstr. 17,4058,Basel,1.5,50,1410
Schutzenmattsttrasse 40,4051,Basel,1.5,30,1087
Gundeldingerstrasse 496,4053,Basel,3,76,1426
Gundeldingerrain 81,4059,Basel,3.5,98,2040
